%%%%%%%userID	taskid	serpIndexinTask	main_rank	deep_rank	content_rank	url
091401	2	0	9	-1	1	/search?hl=en&client=ms-android-verizon&sky=mrdr&site=webhp&q=related:www.centraarchy.com/LSG/+vegetarian+restaurants+Lenox+Square&tbo=1&sa=X&ei=cExTUM2TA4rs9ATcmYCAAg&ved=0CEgQHzAJ
091401	2	0	9	-1	2	#
091401	2	1	0	-1	-1	javascript:void(0)
091401	2	1	0	-1	0	javascript:void(0)
091401	2	1	1	-1	-1	/maps/place?ui=maps_mini&cid=1797228979159558287&q=vegetarian+restaurants+Lenox+Square&sa=X&ei=00xTULGZMI-49gSsoYGQDA&ved=0CCwQtRkwAA
091401	2	1	1	-1	0	/maps/place?ui=maps_mini&cid=1797228979159558287&q=vegetarian+restaurants+Lenox+Square&sa=X&ei=00xTULGZMI-49gSsoYGQDA&ved=0CCwQtRkwAA
091401	2	1	1	-1	1	javascript:void(0)
091401	2	1	1	-1	2	http://www.h2sr.com/prime/
091401	2	1	2	-1	-1	/maps/place?ui=maps_mini&cid=1004265071320959420&q=vegetarian+restaurants+Lenox+Square&sa=X&ei=00xTULGZMI-49gSsoYGQDA&ved=0CDUQtRkwAA
091401	2	1	2	-1	0	/maps/place?ui=maps_mini&cid=1004265071320959420&q=vegetarian+restaurants+Lenox+Square&sa=X&ei=00xTULGZMI-49gSsoYGQDA&ved=0CDUQtRkwAA
091401	2	1	2	-1	1	javascript:void(0)
091401	2	1	2	-1	2	http://www.simon.com/mall/default.aspx?ID=207
091401	2	1	3	-1	-1	/maps/place?ui=maps_mini&cid=2421449047196908538&q=vegetarian+restaurants+Lenox+Square&sa=X&ei=00xTULGZMI-49gSsoYGQDA&ved=0CD0QtRkwAA
091401	2	1	3	-1	0	/maps/place?ui=maps_mini&cid=2421449047196908538&q=vegetarian+restaurants+Lenox+Square&sa=X&ei=00xTULGZMI-49gSsoYGQDA&ved=0CD0QtRkwAA
091401	2	1	3	-1	1	javascript:void(0)
091401	2	1	4	-1	-1	/maps/place?ui=maps_mini&cid=16360208726904420706&q=vegetarian+restaurants+Lenox+Square&sa=X&ei=00xTULGZMI-49gSsoYGQDA&ved=0CEUQtRkwAA
091401	2	1	4	-1	0	/maps/place?ui=maps_mini&cid=16360208726904420706&q=vegetarian+restaurants+Lenox+Square&sa=X&ei=00xTULGZMI-49gSsoYGQDA&ved=0CEUQtRkwAA
091401	2	1	4	-1	1	javascript:void(0)
091401	2	1	4	-1	2	http://www.simon.com/mall/default.aspx?id=207
091401	2	1	5	-1	-1	/maps/place?ui=maps_mini&cid=16831462339220923319&q=vegetarian+restaurants+Lenox+Square&sa=X&ei=00xTULGZMI-49gSsoYGQDA&ved=0CE0QtRkwAA
091401	2	1	5	-1	0	/maps/place?ui=maps_mini&cid=16831462339220923319&q=vegetarian+restaurants+Lenox+Square&sa=X&ei=00xTULGZMI-49gSsoYGQDA&ved=0CE0QtRkwAA
091401	2	1	5	-1	1	javascript:void(0)
091401	2	1	5	-1	2	http://www.lenoxsquaregrill.com/
091401	2	1	6	-1	-1	/maps/place?ui=maps_mini&cid=16851322558341452796&q=vegetarian+restaurants+Lenox+Square&sa=X&ei=00xTULGZMI-49gSsoYGQDA&ved=0CFQQtRkwAA
091401	2	1	6	-1	0	/maps/place?ui=maps_mini&cid=16851322558341452796&q=vegetarian+restaurants+Lenox+Square&sa=X&ei=00xTULGZMI-49gSsoYGQDA&ved=0CFQQtRkwAA
091401	2	1	6	-1	1	javascript:void(0)
091401	2	1	6	-1	2	http://www.ritzcarlton.com/en/Properties/Buckhead/Default.htm
091401	2	1	7	-1	-1	/maps/place?ui=maps_mini&cid=657611764376026105&q=vegetarian+restaurants+Lenox+Square&sa=X&ei=00xTULGZMI-49gSsoYGQDA&ved=0CF0QtRkwAA
091401	2	1	7	-1	0	/maps/place?ui=maps_mini&cid=657611764376026105&q=vegetarian+restaurants+Lenox+Square&sa=X&ei=00xTULGZMI-49gSsoYGQDA&ved=0CF0QtRkwAA
091401	2	1	7	-1	1	javascript:void(0)
091401	2	1	7	-1	2	http://www.trufflescafeusa.com/
091401	2	1	8	-1	-1	/maps/place?ui=maps_mini&cid=6548425319086438860&q=vegetarian+restaurants+Lenox+Square&sa=X&ei=00xTULGZMI-49gSsoYGQDA&ved=0CGYQtRkwAA
091401	2	1	8	-1	0	/maps/place?ui=maps_mini&cid=6548425319086438860&q=vegetarian+restaurants+Lenox+Square&sa=X&ei=00xTULGZMI-49gSsoYGQDA&ved=0CGYQtRkwAA
091401	2	1	8	-1	1	javascript:void(0)
091401	2	1	8	-1	2	http://www.hillstone.com/#/restaurants/houstons/
091401	2	1	9	-1	-1	/maps/place?ui=maps_mini&cid=14035702555946791215&q=vegetarian+restaurants+Lenox+Square&sa=X&ei=00xTULGZMI-49gSsoYGQDA&ved=0CG8QtRkwAA
091401	2	1	9	-1	0	/maps/place?ui=maps_mini&cid=14035702555946791215&q=vegetarian+restaurants+Lenox+Square&sa=X&ei=00xTULGZMI-49gSsoYGQDA&ved=0CG8QtRkwAA
091401	2	1	9	-1	1	javascript:void(0)
